Date and time,kWh,temperature,Month,Weekday,Hour,Workday
2017-07-01 00:00:00,0.87,20,7.0,5.0,0.0,0.0
2017-07-01 01:00:00,0.65,19,7.0,5.0,1.0,0.0
2017-07-01 02:00:00,0.65,20,7.0,5.0,2.0,0.0
2017-07-01 03:00:00,0.66,20,7.0,5.0,3.0,0.0
2017-07-01 04:00:00,0.65,20,7.0,5.0,4.0,0.0
2017-07-01 05:00:00,0.64,20,7.0,5.0,5.0,0.0
2017-07-01 06:00:00,1.11,20,7.0,5.0,6.0,0.0
2017-07-01 07:00:00,0.57,20,7.0,5.0,7.0,0.0
2017-07-01 08:00:00,0.88,21,7.0,5.0,8.0,0.0
2017-07-01 09:00:00,0.72,22,7.0,5.0,9.0,0.0
2017-07-01 10:00:00,0.79,23,7.0,5.0,10.0,0.0
2017-07-01 11:00:00,0.87,22,7.0,5.0,11.0,0.0
2017-07-01 12:00:00,1.39,22,7.0,5.0,12.0,0.0
2017-07-01 13:00:00,0.87,22,7.0,5.0,13.0,0.0
2017-07-01 14:00:00,0.95,22,7.0,5.0,14.0,0.0
2017-07-01 15:00:00,3.89,23,7.0,5.0,15.0,0.0
2017-07-01 16:00:00,5.44,24,7.0,5.0,16.0,0.0
2017-07-01 17:00:00,2.33,23,7.0,5.0,17.0,0.0
2017-07-01 18:00:00,2.50,23,7.0,5.0,18.0,0.0
2017-07-01 19:00:00,2.16,23,7.0,5.0,19.0,0.0
2017-07-01 20:00:00,0.62,22,7.0,5.0,20.0,0.0
2017-07-01 21:00:00,0.88,22,7.0,5.0,21.0,0.0
2017-07-01 22:00:00,0.69,20,7.0,5.0,22.0,0.0
2017-07-01 23:00:00,0.99,20,7.0,5.0,23.0,0.0
2017-07-02 00:00:00,0.59,19,7.0,6.0,0.0,0.0
2017-07-02 01:00:00,0.53,19,7.0,6.0,1.0,0.0
2017-07-02 02:00:00,0.27,20,7.0,6.0,2.0,0.0
2017-07-02 03:00:00,0.24,19,7.0,6.0,3.0,0.0
2017-07-02 04:00:00,0.67,19,7.0,6.0,4.0,0.0
2017-07-02 05:00:00,0.30,18,7.0,6.0,5.0,0.0
2017-07-02 06:00:00,0.27,18,7.0,6.0,6.0,0.0
2017-07-02 07:00:00,0.25,18,7.0,6.0,7.0,0.0
2017-07-02 08:00:00,0.26,18,7.0,6.0,8.0,0.0
2017-07-02 09:00:00,0.23,19,7.0,6.0,9.0,0.0
2017-07-02 10:00:00,0.73,20,7.0,6.0,10.0,0.0
2017-07-02 11:00:00,0.25,20,7.0,6.0,11.0,0.0
2017-07-02 12:00:00,0.24,22,7.0,6.0,12.0,0.0
2017-07-02 13:00:00,0.44,23,7.0,6.0,13.0,0.0
2017-07-02 14:00:00,0.53,23,7.0,6.0,14.0,0.0
2017-07-02 15:00:00,1.98,23,7.0,6.0,15.0,0.0
2017-07-02 16:00:00,1.32,23,7.0,6.0,16.0,0.0
2017-07-02 17:00:00,1.34,23,7.0,6.0,17.0,0.0
2017-07-02 18:00:00,1.10,22,7.0,6.0,18.0,0.0
2017-07-02 19:00:00,0.89,21,7.0,6.0,19.0,0.0
2017-07-02 20:00:00,0.65,20,7.0,6.0,20.0,0.0
2017-07-02 21:00:00,0.64,19,7.0,6.0,21.0,0.0
2017-07-02 22:00:00,0.64,19,7.0,6.0,22.0,0.0
2017-07-02 23:00:00,1.09,20,7.0,6.0,23.0,0.0
2017-07-03 00:00:00,0.63,19,7.0,0.0,0.0,1.0
2017-07-03 01:00:00,0.63,18,7.0,0.0,1.0,1.0
2017-07-03 02:00:00,0.65,18,7.0,0.0,2.0,1.0
2017-07-03 03:00:00,0.63,17,7.0,0.0,3.0,1.0
2017-07-03 04:00:00,0.63,16,7.0,0.0,4.0,1.0
2017-07-03 05:00:00,0.98,16,7.0,0.0,5.0,1.0
2017-07-03 06:00:00,0.64,17,7.0,0.0,6.0,1.0
2017-07-03 07:00:00,0.64,17,7.0,0.0,7.0,1.0
2017-07-03 08:00:00,0.62,18,7.0,0.0,8.0,1.0
2017-07-03 09:00:00,0.61,20,7.0,0.0,9.0,1.0
2017-07-03 10:00:00,1.10,21,7.0,0.0,10.0,1.0
2017-07-03 11:00:00,0.80,22,7.0,0.0,11.0,1.0
2017-07-03 12:00:00,0.88,24,7.0,0.0,12.0,1.0
2017-07-03 13:00:00,1.36,24,7.0,0.0,13.0,1.0
2017-07-03 14:00:00,2.13,24,7.0,0.0,14.0,1.0
2017-07-03 15:00:00,4.59,25,7.0,0.0,15.0,1.0
2017-07-03 16:00:00,3.96,25,7.0,0.0,16.0,1.0
2017-07-03 17:00:00,2.68,25,7.0,0.0,17.0,1.0
2017-07-03 18:00:00,0.24,23,7.0,0.0,18.0,1.0
2017-07-03 19:00:00,0.73,23,7.0,0.0,19.0,1.0
2017-07-03 20:00:00,0.22,22,7.0,0.0,20.0,1.0
2017-07-03 21:00:00,0.21,22,7.0,0.0,21.0,1.0
2017-07-03 22:00:00,0.23,20,7.0,0.0,22.0,1.0
2017-07-03 23:00:00,0.24,18,7.0,0.0,23.0,1.0
2017-07-04 00:00:00,0.25,17,7.0,1.0,0.0,1.0
2017-07-04 01:00:00,0.76,16,7.0,1.0,1.0,1.0
2017-07-04 02:00:00,0.25,16,7.0,1.0,2.0,1.0
2017-07-04 03:00:00,0.24,14,7.0,1.0,3.0,1.0
2017-07-04 04:00:00,0.24,15,7.0,1.0,4.0,1.0
2017-07-04 05:00:00,0.25,15,7.0,1.0,5.0,1.0
2017-07-04 06:00:00,0.24,17,7.0,1.0,6.0,1.0
2017-07-04 07:00:00,0.80,19,7.0,1.0,7.0,1.0
2017-07-04 08:00:00,0.57,21,7.0,1.0,8.0,1.0
2017-07-04 09:00:00,0.51,22,7.0,1.0,9.0,1.0
2017-07-04 10:00:00,0.51,23,7.0,1.0,10.0,1.0
2017-07-04 11:00:00,1.00,23,7.0,1.0,11.0,1.0
2017-07-04 12:00:00,0.51,23,7.0,1.0,12.0,1.0
2017-07-04 13:00:00,0.53,25,7.0,1.0,13.0,1.0
2017-07-04 14:00:00,0.78,26,7.0,1.0,14.0,1.0
2017-07-04 15:00:00,0.79,25,7.0,1.0,15.0,1.0
2017-07-04 16:00:00,0.50,26,7.0,1.0,16.0,1.0
2017-07-04 17:00:00,1.27,26,7.0,1.0,17.0,1.0
2017-07-04 18:00:00,0.93,24,7.0,1.0,18.0,1.0
2017-07-04 19:00:00,1.03,24,7.0,1.0,19.0,1.0
2017-07-04 20:00:00,0.51,22,7.0,1.0,20.0,1.0
2017-07-04 21:00:00,0.52,21,7.0,1.0,21.0,1.0
2017-07-04 22:00:00,1.05,20,7.0,1.0,22.0,1.0
2017-07-04 23:00:00,0.52,19,7.0,1.0,23.0,1.0
2017-07-05 00:00:00,0.53,19,7.0,2.0,0.0,1.0
2017-07-05 01:00:00,0.52,17,7.0,2.0,1.0,1.0
2017-07-05 02:00:00,0.53,15,7.0,2.0,2.0,1.0
2017-07-05 03:00:00,0.53,15,7.0,2.0,3.0,1.0
2017-07-05 04:00:00,1.03,14,7.0,2.0,4.0,1.0
